SampleId;species;individualsPerMl
Schulensmeer_14jul08;coccaal_sp_groot;186,0778646
Schulensmeer_29may08;Cryptomonas_erosa;182,4898864
Hazewinkel_17jun14;Staurastrum_chaetoceras;182,1271771
GroteVijverMechelen_16jul08;Stephanodiscus_hantzschii;180,9090351
KanaalplasDeMaat_16apr13;Aulacoseira_cf_italica_broad_cells;180,8329349
RauwseMeer_19jun13;Dinobryon_divergens;180,3530813
Hazewinkel_29jul14;Oocystis_solitaria;176,20474
Hazewinkel_23apr14;flagellaat_5to10_µm;175,0813415
Schulensmeer_19jun08;Chlorella_sp;174,4479981
Vinne_22sep08;Crucigeniella_rectangularis;174,4479981
Vinne_22sep08;Golenkinia_radiata;174,4479981
Schulensmeer_22sep08;Micractinium_pusillum;174,4479981
Vinne_27aug08;Syncrypta_eleochrus;174,4479981
Vinne_22sep08;Aphanocapsa;174,4479981
RauwseMeer_19jun13;Chroomonas_acuta;173,7874959
Hazewinkel_20may14;Chroomonas_acuta;173,6228443
KanaalplasDeMaat_16apr13;coccaal_sp;172,2218428
RauwseMeer_24oct13;Chroomonas_acuta;172,2218428
Schulensmeer_29may08;Ankyra_judayi;172,0618929
Vinne_29may08;Cryptomonas__rostrata;170,5713759
GroteVijverMechelen_19sep08;Chrysochromulina_parva;169,7960515
KanaalplasDeMaat_21aug13;Chlorella_sp;169,0905365
Schulensmeer_22sep08;Ceratium_hirudinella;168,5145486
GroteVijverMechelen_25aug08;Asterionella_formosa_cells;167,4700782
GroteVijverMechelen_25aug08;Cryptomonas_erosa;167,4700782
Vinne_19jun08;flagellaat_3to5_µm_1;164,7564427
Hazewinkel_26aug14;Cyanodiction_planctonicum;164,4847999
Vinne_14jul08;Pandorina_morum;162,8181316
RauwseMeer_24oct13;Chlorella_vulgaris_v_vulgaris_f_minuscula;156,5653116
Schulensmeer_27aug08;Actinastrum_hantzschii;155,0648872
Schulensmeer_27aug08;Coelastrum_astroideum;155,0648872
Schulensmeer_27aug08;Coelastrum_microporum;155,0648872
Schulensmeer_27aug08;Monoraphidium_contortum;155,0648872
Schulensmeer_27aug08;Cryptomonas_erosa;155,0648872
Schulensmeer_27aug08;Aphanocapsa;155,0648872
Schulensmeer_14jul08;Euglena_sp;155,0648872
Schulensmeer_27aug08;flagellaat_3to5_µm_1;155,0648872
KanaalplasDeMaat_21may13;Chrysochromulina_parva;155,035183
RauwseMeer_19jun13;Chrysochromulina_parva;154,9996585
Hazewinkel_23apr14;Aphanothece_minutissima;154,4835366
Hazewinkel_17jun14;Cyanodiction_intermedium;154,2044999
Hazewinkel_23sep14;Katablepharis_ovalis;153,5191466
Hazewinkel_23apr14;Asterionella_formosa_cells;151,6731246
RauwseMeer_17apr13;Chroomonas_acuta;149,8330032
GroteVijverMechelen_7may08;Chroomonas_acuta;148,0164832
KanaalplasDeMaat_16apr13;Chrysochromulina_parva;146,3885664
Schulensmeer_22sep08;Cyclotella_meneghiniana;145,3733318
Schulensmeer_22sep08;Chlorella_sp;145,3733318
Vinne_27aug08;Monoraphidium_komarkovae;145,3733318
Schulensmeer_19jun08;Oocystis_sp;145,3733318
Schulensmeer_22sep08;Scenedesmus_ecornis;145,3733318
Schulensmeer_22sep08;Scenedesmus_obliquus;145,3733318
Vinne_22sep08;Cryptomonas__rostrata;145,3733318
Schulensmeer_19jun08;Lemmermaniella_flexa;145,3733318
Vinne_22sep08;coccaal_5to10_µm;145,3733318
Hazewinkel_23sep14;Ankyra_judayi;142,5534932
Hazewinkel_7oct14;Ankyra_judayi;142,5534932
GroteVijverMechelen_25aug08;Rhodomonas_lacustris;139,5583985
RauwseMeer_17apr13;Chrysochromulina_parva;139,4996926
Schulensmeer_27aug08;Aulacoseira_granulata_cells;138,5086417
RauwseMeer_21may13;Chrysochromulina_parva;134,3330374
RauwseMeer_17sep13;Chrysochromulina_parva;133,0805149
RauwseMeer_17apr13;Aulacoseira_cf_italica_tenuissima_colonies;129,1663821
Vinne_14jul08;coccaal_sp_groot;127,9285319
RauwseMeer_17sep13;Aphanothece_minutissima;125,2522493
Schulensmeer_27aug08;Microcystis_flos_aquae;125,05
Schulensmeer_27aug08;Desmodesmus_quadricauda;124,0519098
Schulensmeer_14jul08;Phacotus_angustus;124,0519098
KanaalplasDeMaat_17sep13;Monoraphidium_minutum;122,1209431
Hazewinkel_29jul14;flagellaat_3to5_µm_1;120,9955443
GroteVijverMechelen_19sep08;Aulacoseira_ambigua_colonies;120,950612
GroteVijverMechelen_25aug08;Nitzschia_sp;120,950612
KanaalplasDeMaat_16apr13;Chlorella_vulgaris_v_vulgaris_f_minuscula;120,5552899
Vinne_29may08;Mallomonas_sp;120,1752876
RauwseMeer_17apr13;centricaat_sp1;118,8330715
KanaalplasDeMaat_24oct13;Synura_uvella ;117,4239837
Schulensmeer_19jun08;Chlamydomonas_sp2;116,2986654
Schulensmeer_19jun08;Desmodesmus_armatus;116,2986654
Schulensmeer_22sep08;Desmodesmus_communis;116,2986654
Vinne_27aug08;Desmodesmus_opoliensis;116,2986654
Vinne_22sep08;Dictyosphaerium_pulchellum;116,2986654
Schulensmeer_19jun08;Lagerheimia_geneviensis;116,2986654
Vinne_14jul08;coccaal_sp;116,2986654
Vinne_19jun08;Chrysococcus_rufescens;116,2986654
Vinne_14jul08;Mallomonas_sp;116,2986654
Vinne_14jul08;Cryptomonas_ovata;116,2986654
Vinne_14jul08;Cryptomonas_phaseolus;116,2986654
Vinne_27aug08;Oscillatoria_sp1;116,2986654
Schulensmeer_19jun08;Trachelomonas_volvocina;116,2986654
GroteVijverMechelen_9apr08;coccaal_sp;115,2814759
Schulensmeer_24oct08;Stephanodiscus_hantzschii;112,9758464
KanaalplasDeMaat_16apr13;cf_Dictyosphaerium_tetrachotomum_fallax_colonies;111,9441978
Hazewinkel_26aug14;Cryptomonas_erosa;109,6565333
Blokkersdijk_16jul08;Chroomonas_acuta;108,9146232
KanaalplasDeMaat_16apr13;Fragillaria_crotonensis_cells;107,9
KanaalplasDeMaat_24oct13;Asterionella_formosa_cells;107,1241002
GroteVijverMechelen_7may08;Ankyra_lanceolata;104,5513255
GroteVijverMechelen_16jul08;Nitzschia_palea;103,3765915
GroteVijverMechelen_27jun08;Cryptomonas_erosa;103,3765915
KanaalplasDeMaat_16apr13;Chroomonas_acuta;103,3331057
RauwseMeer_21may13;coccaal_3to5_µm;103,3331057
RauwseMeer_19jun13;flagellaat_3to5_µm_2;103,3331057
KanaalplasDeMaat_17jul13;flagellaat_3to5_µm_2;101,9983864
RauwseMeer_24oct13;Chrysochromulina_parva;101,7674525
Hazewinkel_29jul14;Staurastrum_chaetoceras;100,9035691
Hazewinkel_23apr14;Puncticulata_radiosa_balatonis;99,12495543
RauwseMeer_21may13;coccaal_5to10_µm;98,16645038
Vinne_19jun08;Navicula_sp_klein;96,9155545
Vinne_19jun08;pennaat_sp_1;96,9155545
GroteVijverMechelen_7may08;Chrysochromulina_parva;93,97871952
KanaalplasDeMaat_19jun13;Ankyra_judayi;93,93918697
KanaalplasDeMaat_21aug13;coccaal_3to5_µm;93,93918697
KanaalplasDeMaat_19jun13;flagellaat_3to5_µm_1;93,93918697
Schulensmeer_14jul08;Ceratium_hirudinella;93,06598935
Schulensmeer_14jul08;Coelastrum_microporum;93,03893232
Schulensmeer_27aug08;Dictyosphaerium_pulchellum;93,03893232
Vinne_14jul08;Monoraphidium_contortum;93,03893232
Schulensmeer_27aug08;Scenedesmus_dimorphus;93,03893232
Schulensmeer_27aug08;Scenedesmus_planctonicum;93,03893232
Schulensmeer_27aug08;Selenastrum_gracile;93,03893232
GroteVijverMechelen_25aug08;Gymnodinium_sp;93,03893232
Schulensmeer_27aug08;Trachelomonas_planctonica;93,03893232
Hazewinkel_23apr14;Ochromonas_sp;92,69012196
Vinne_25apr08;Cryptomonas_marssonii;91,77309651
Hazewinkel_26aug14;Chroococcus_aphanocapsoides;91,38044438
GroteVijverMechelen_16jul08;Monoraphidium_minutum;90,45451754
GroteVijverMechelen_16jul08;Cryptomonas__rostrata;90,45451754
