occurrenceID;type;basisOfREcord;SampleId;species;scientificName;organismQuantity;organismQuantityType;identifiedBy
Ugent:Ecopot1:0149;event;HumanObservation;Kessenich_24aug07;Chlamydomonas;Chlamydomonas;3.60;Calculated Individuals per ML;J. Van Wichelen
Ugent:Ecopot1:0150;event;HumanObservation;Kessenich_22jun07;Oocystis;Oocystis;3.60;Calculated Individuals per ML;J. Van Wichelen
Ugent:Ecopot1:0151;event;HumanObservation;Kessenich_18apr07;Diatoma vulgaris;Diatoma vulgaris;3.60;Calculated Individuals per ML;J. Van Wichelen
Ugent:Ecopot1:0152;event;HumanObservation;Kessenich_24aug07;Aphanizomenon;Aphanizomenon;3.60;Calculated Individuals per ML;J. Van Wichelen
Ugent:Ecopot1:0153;event;HumanObservation;Heerenlaak_12jul07;Crucigenia;Crucigenia;3.40;Calculated Individuals per ML;J. Van Wichelen
Ugent:Ecopot1:0154;event;HumanObservation;Heerenlaak_31may07;Desmodesmus;Desmodesmus;3.40;Calculated Individuals per ML;J. Van Wichelen
Ugent:Ecopot1:0155;event;HumanObservation;Kessenich_12jul07;Pediastrum;Pediastrum;3.40;Calculated Individuals per ML;J. Van Wichelen
Ugent:Ecopot1:0156;event;HumanObservation;Heerenlaak_12jul07;Coelastrum;Coelastrum;3.20;Calculated Individuals per ML;J. Van Wichelen
Ugent:Ecopot1:0157;event;HumanObservation;Kessenich_31may07;Monoraphidium  ;Monoraphidium  ;3.20;Calculated Individuals per ML;J. Van Wichelen
Ugent:Ecopot1:0158;event;HumanObservation;Kessenich_12jul07;Tetrachlorella;Tetrachlorella;3.20;Calculated Individuals per ML;J. Van Wichelen
Ugent:Ecopot1:0159;event;HumanObservation;Heerenlaak_12jul07;Trachelomonas;Trachelomonas;3.20;Calculated Individuals per ML;J. Van Wichelen
Ugent:Ecopot1:0160;event;HumanObservation;Kessenich_7sep06;Asterionella formosa;Asterionella formosa;3.10;Calculated Individuals per ML;J. Van Wichelen
Ugent:Ecopot1:0161;event;HumanObservation;Kessenich_22jun07;Closterium;Closterium;3.00;Calculated Individuals per ML;J. Van Wichelen
Ugent:Ecopot1:0162;event;HumanObservation;Kessenich_22jun07;Schroederia;Schroederia;3.00;Calculated Individuals per ML;J. Van Wichelen
Ugent:Ecopot1:0163;event;HumanObservation;Kessenich_22jun07;Anabaena_planctonica;Anabaena planctonica;3.00;Calculated Individuals per ML;J. Van Wichelen
Ugent:Ecopot1:0164;event;HumanObservation;Heerenlaak_24aug07;Schroederia;Schroederia;2.80;Calculated Individuals per ML;J. Van Wichelen
Ugent:Ecopot1:0165;event;HumanObservation;Kessenich_24aug07;Trachelomonas;Trachelomonas;2.80;Calculated Individuals per ML;J. Van Wichelen
Ugent:Ecopot1:0166;event;HumanObservation;Heerenlaak_17apr07;unknown_pennate_diatom_2;unknown pennate diatom 2;2.80;Calculated Individuals per ML;J. Van Wichelen
Ugent:Ecopot1:0167;event;HumanObservation;Heerenlaak_22jun07;Nitzschia;Nitzschia;2.60;Calculated Individuals per ML;J. Van Wichelen
Ugent:Ecopot1:0168;event;HumanObservation;Kessenich_22jun07;Glenodinium;Glenodinium;2.60;Calculated Individuals per ML;J. Van Wichelen
Ugent:Ecopot1:0169;event;HumanObservation;Kessenich_12jul07;Eudorina;Eudorina;2.40;Calculated Individuals per ML;J. Van Wichelen
Ugent:Ecopot1:0170;event;HumanObservation;Kessenich_31may07;Pandorina;Pandorina;2.40;Calculated Individuals per ML;J. Van Wichelen
Ugent:Ecopot1:0171;event;HumanObservation;Kessenich_22jun07;Monoraphidium  ;Monoraphidium  ;2.40;Calculated Individuals per ML;J. Van Wichelen
